year,id,word_count,cooccur_topic2_church,cooccur_topic3_time,smallpox_death_cooccurrences,smallpox_epidemic_cooccurrences,cooccur_topic1_city,cooccur_topic5_people,smallpox_sick_cooccurrences,cooccur_topic1_county,cooccur_topic4_train,smallpox_plague_cooccurrences,cooccur_topic4_house,cooccur_topic2_made,smallpox_burial_cooccurrences,cooccur_topic4_year,smallpox_outbreak_cooccurrences,smallpox_pandemic_cooccurrences,cooccur_topic4_street,cooccur_topic5_would,cooccur_topic3_little,cooccur_topic3_good,smallpox_died_cooccurrences,cooccur_topic5_state,cooccur_topic2_said,cooccur_topic5_party,cooccur_topic4_sale,cooccur_topic5_york,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1874,2_1874-05-01_p4_sn84027718_00271763815_1874050101_0085,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052706045,0.23862955,0.0025197119,0.70937115,0.044209015
1874,25_1874-09-09_p12_sn83030313_00271743877_1874090901_0826,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84767264,0.12789102,0.009896074,0.00791323,0.006627099
1874,22_1874-07-02_p3_sn84026837_00271740372_1874070201_0662,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3734732,0.012541435,0.009371357,0.5982952,0.0063187936
1874,18_1874-05-20_p1_sn83030214_00206531174_1874052001_0415,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080272794,0.22872351,0.017921003,0.00029804246,0.7522547
1874,28_1874-05-07_p3_sn84026837_00271740372_1874050701_0460,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008650829,0.68804616,0.29804552,0.0028627762,0.0023947225
1874,18_1874-10-01_p6_sn83030313_00271743889_1874100101_0021,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015927721,0.00096856104,0.47801816,0.14050588,0.3789146
1874,30_1874-08-26_p9_sn83030313_00271743877_1874082601_0645,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06186694,0.8651819,0.029335057,0.023708796,0.01990724
1874,19_1874-12-15_p8_sn83030313_00271743889_1874121501_0984,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77908635,0.007090494,0.20609222,0.0042096605,0.0035212364
1874,23_1874-10-20_p7_sn83030313_00271743889_1874102001_0278,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063933353,0.00432577,0.9845867,0.0025541892,0.0021400186
1874,10_1874-12-27_p6_sn83030313_00271743889_1874122701_1112,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010799481,0.62614584,0.1564961,0.0038683019,0.2026903
1874,24_1874-07-21_p3_sn84038806_00280768911_1874072101_0075,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4869719,0.0047738138,0.003488077,0.50241894,0.0023472805
1874,4_1874-01-07_p1_sn84020422_0033289495A_1874010701_0100,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040101395,0.22682779,0.6648371,0.103044406,0.0012805114
1874,94_1874-11-19_p3_sn84038806_00280768911_1874111901_0481,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04521411,0.026294114,0.68341535,0.23167542,0.013400973
1874,22_1874-12-07_p2_sn83030214_00206531198_1874120701_0576,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6702604,0.008545343,0.0063967896,0.3105131,0.0042842897
1874,34_1874-09-09_p3_sn82014248_00332895904_1874090901_1158,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72018456,0.009008507,0.26037592,0.0060008275,0.004430128
1874,5_1874-07-04_p2_sn86053573_00294558329_1874070401_0017,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005164247,0.0033581764,0.002470755,0.8320621,0.15694472
