year,id,word_count,cooccur_topic2_house,cooccur_topic3_bank,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic4_good,smallpox_sick_cooccurrences,cooccur_topic2_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic4_street,cooccur_topic1_court,cooccur_topic2_york,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic4_medicine,cooccur_topic2_mile,cooccur_topic1_county,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic4_disease,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic5_said,cooccur_topic4_sale,cooccur_topic3_people,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic2_john,cooccur_topic3_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1836,12_1836-09-09_p1_sn87062070_0039334295A_1836090901_1166,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008703172,0.0057234834,0.35966277,0.21849696,0.40741363
1836,14_1836-10-21_p2_sn87062070_0039334295A_1836102101_1191,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009253644,0.21143857,0.0045336126,0.0036517126,0.7711225
1836,15_1836-03-18_p4_sn87062070_0039334295A_1836031801_1069,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008735236,0.0059800707,0.004519707,0.9777031,0.0030618494
1836,24_1836-08-19_p4_sn87062070_0039334295A_1836081901_1157,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009943162,0.0060435086,0.0044571273,0.8575461,0.12201018
1836,5_1836-03-25_p2_sn87062070_0039334295A_1836032501_1071,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004345783,0.0026105898,0.0018477533,0.0014904657,0.9897054
1836,5_1836-07-07_pNone_sn85042147_00202197954_1836070701_0356,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12816292,0.0010356336,0.28498703,0.0061796634,0.57963467
1836,22_1836-11-18_p3_sn87062070_0039334295A_1836111801_1208,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9574377,0.015039228,0.011129195,0.0089130895,0.0074807773
1836,2_1836-12-23_p2_sn87062070_0039334295A_1836122301_1227,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20866106,0.0022581164,0.78660786,0.0013450981,0.0011278931
1836,3_1836-09-16_p4_sn87062070_0039334295A_1836091601_1173,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008229974,0.87800336,0.003892567,0.10727521,0.002598828
1836,60_1836-08-26_p4_sn87062070_0039334295A_1836082601_1161,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012924663,0.008299706,0.00609823,0.9685595,0.004117947
1836,36_1836-12-29_p4_sn84020071_0041418294A_1836122901_0430,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033730697,0.020612506,0.014742937,0.9209609,0.009952933
1836,29_1836-01-08_p4_sn87062070_0039334295A_1836010801_1029,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015942113,0.9640857,0.008059056,0.006484354,0.0054287314
1836,35_1836-12-09_p4_sn87062070_0039334295A_1836120901_1221,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009273755,0.43480167,0.004230584,0.5488486,0.0028452352
