year,id,word_count,cooccur_topic1_house,smallpox_burial_cooccurrences,cooccur_topic5_price,cooccur_topic3_would,cooccur_topic5_good,smallpox_sick_cooccurrences,cooccur_topic4_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic5_stock,cooccur_topic2_street,cooccur_topic2_york,cooccur_topic4_cure,cooccur_topic2_ship,smallpox_epidemic_cooccurrences,cooccur_topic3_upon,cooccur_topic4_medicine,cooccur_topic1_county,cooccur_topic5_assortment,smallpox_death_cooccurrences,cooccur_topic3_state,cooccur_topic3_great,smallpox_died_cooccurrences,cooccur_topic4_every,cooccur_topic4_disease,smallpox_plague_cooccurrences,cooccur_topic1_said,cooccur_topic5_sale,cooccur_topic3_time,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1846,38_1846-09-01_p4_sn82014769_00415661010_1846090101_0082,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013324285,0.008424946,0.006303588,0.005085618,0.9668616
1846,8_1846-04-20_p5_sn83030313_00271742939_1846042001_0474,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44239,0.006917693,0.0051191635,0.0040878598,0.54148525
1846,32_1846-03-14_p2_sn82016488_00513688040_1846031401_0599,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41931868,0.008931057,0.56201214,0.00530299,0.0044350983
1846,37_1846-09-23_p3_sn82014769_00415661010_1846092301_0157,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045616653,0.9055953,0.019671973,0.015835242,0.013280871
1846,55_1846-10-03_p2_sn82014769_00415661010_1846100301_0192,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04009833,0.20599443,0.016193252,0.7268382,0.010875812
1846,17_1846-08-17_p4_sn82014769_00415661010_1846081701_0030,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46505606,0.007195653,0.51979136,0.0043306565,0.0036263447
1846,10_1846-12-24_p3_sn84020071_00414182963_1846122401_0348,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99185836,0.0028394647,0.002142653,0.001718545,0.0014410553
1846,27_1846-01-24_p3_sn84037932_00415668946_1846012401_0444,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007004378,0.0047490443,0.0035962497,0.0029054696,0.9817448
1846,7_1846-10-21_p3_sn82014769_00415661010_1846102101_0245,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015513406,0.0009204725,0.07405315,0.9230233,0.00045177684
1846,7_1846-03-07_p2_sn87090028_00295877959_1846030701_0661,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014569265,0.0076549957,0.44336796,0.53054374,0.0038640099
