year,id,word_count,cooccur_topic4_house,cooccur_topic3_prize,cooccur_topic1_hundred,smallpox_burial_cooccurrences,cooccur_topic5_would,cooccur_topic5_like,smallpox_sick_cooccurrences,cooccur_topic1_year,smallpox_pandemic_cooccurrences,smallpox_outbreak_cooccurrences,cooccur_topic1_dollar,cooccur_topic4_street,cooccur_topic3_number,smallpox_epidemic_cooccurrences,cooccur_topic5_upon,cooccur_topic3_ticket,cooccur_topic4_wilmington,smallpox_death_cooccurrences,cooccur_topic3_state,smallpox_died_cooccurrences,cooccur_topic5_every,smallpox_plague_cooccurrences,cooccur_topic4_market,cooccur_topic2_said,cooccur_topic5_time,cooccur_topic1_shall,cooccur_topic4_john,cooccur_topic2_country,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1826,8_1826-02-23_p1_sn85042523_00271740244_1826022301_0525,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008998805,0.0054780087,0.0041074413,0.0033096073,0.9781061
1826,2_1826-08-11_p4_sn82014894_00271740207_1826081101_0706,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033912202,0.0021417749,0.97504914,0.018321948,0.0010958996
1826,9_1826-03-16_p2_sn85042523_00271740244_1826031601_0538,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14691961,0.017332032,0.8169976,0.010208079,0.008542707
1826,42_1826-07-13_p2_sn85042523_00271740244_1826071301_0608,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030504204,0.95183206,0.0071474537,0.0057375208,0.004778833
1826,8_1826-10-24_p3_sn82014894_00271740207_1826102401_0792,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22862872,0.10592109,0.011036143,0.6469309,0.007483117
1826,32_1826-10-20_p4_sn82014894_00271740207_1826102001_0789,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03967674,0.026531998,0.019669892,0.71984684,0.19427446
1826,32_1826-03-14_p4_sn82014894_00271740207_1826031401_0533,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068723713,0.0041903364,0.82352465,0.16327928,0.0021333282
1826,2_1826-11-03_p1_sn82014894_00271740207_1826110301_0802,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9896489,0.0036048987,0.0027190954,0.0021900025,0.0018371701
1826,43_1826-08-25_p1_sn82014894_00271740207_1826082501_0719,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030254502,0.016166043,0.011809302,0.009514431,0.9322557
1826,8_1826-04-11_p2_sn82014894_00271740207_1826041101_0564,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010672845,0.0070923986,0.0053465683,0.004313581,0.97257465
