year,id,word_count,cooccur_topic5_church,smallpox_kill_cooccurrences,smallpox_plague_cooccurrences,smallpox_sick_cooccurrences,cooccur_topic4_train,smallpox_grave_cooccurrences,smallpox_outbreak_cooccurrences,smallpox_perish_cooccurrences,smallpox_mortality_cooccurrences,cooccur_topic3_state,cooccur_topic4_steamship,cooccur_topic3_party,cooccur_topic2_house,cooccur_topic5_said,smallpox_burial_cooccurrences,smallpox_epidemic_cooccurrences,smallpox_fatality_cooccurrences,smallpox_infection_cooccurrences,smallpox_contagion_cooccurrences,cooccur_topic1_county,cooccur_topic4_york,cooccur_topic5_time,smallpox_casualty_cooccurrences,cooccur_topic5_would,smallpox_death_cooccurrences,smallpox_disease_cooccurrences,smallpox_endemic_cooccurrences,smallpox_suffering_cooccurrences,smallpox_victim_cooccurrences,smallpox_afflicted_cooccurrences,smallpox_succumb_cooccurrences,cooccur_topic1_city,cooccur_topic3_people,cooccur_topic1_street,cooccur_topic4_sale,smallpox_case_cooccurrences,cooccur_topic5_upon,smallpox_died_cooccurrences,smallpox_pandemic_cooccurrences,smallpox_obituary_cooccurrences,cooccur_topic4_market,cooccur_topic2_good,cooccur_topic2_year,smallpox_deceased_cooccurrences,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob
1872,64_1872-12-28_p2_sn84020594_00271742538_1872122801_1360,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97713405,0.007995701,0.0059953416,0.004828821,0.0040461672
1872,13_1872-12-23_p9_sn83030313_00271743804_1872122301_1076,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8647495,0.0046992395,0.0035222298,0.1246803,0.0023486891
1872,25_1872-04-03_p4_sn84026837_0027174254A_1872040301_0021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3914749,0.56775296,0.016412107,0.013259015,0.011101078
1872,2_1872-08-24_p1_sn85025202_0027955730A_1872082401_0614,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003380192,0.9925326,0.0016489399,0.0013258739,0.0011123988
1872,16_1872-03-23_p4_sn82014998_00279558030_1872032301_0260,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4274697,0.0013506045,0.0035995655,0.5669078,0.0006722904
1872,17_1872-01-30_p2_sn84022991_00513688076_1872013001_0564,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14229444,0.005977745,0.0043471716,0.00348832,0.84389234
1872,5_1872-01-06_p2_sn84026820_00271765277_1872010601_0223,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96555316,0.012467969,0.008855539,0.0071424856,0.005980918
1872,36_1872-03-30_p3_sn82014998_00279558030_1872033001_0263,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5238317,0.005087381,0.46917015,0.001039271,0.00087138347
1872,66_1872-01-31_p2_sn84020594_00271742538_1872013101_0126,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30694735,0.008885535,0.11541031,0.56431437,0.0044423975
1872,5_1872-07-24_p3_sn84026837_0027174254A_1872072401_0416,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033472653,0.00214526,0.0016134657,0.9918018,0.0010921743
1872,24_1872-09-26_p1_sn84026837_0027174254A_1872092601_0644,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40381283,0.5560273,0.01617161,0.013061554,0.010926718
1872,52_1872-07-20_p7_sn83030214_00206531101_1872072001_0597,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36603034,0.0019589232,0.6299033,0.0011473785,0.0009600564
1872,2_1872-11-16_p11_sn83030313_00271743804_1872111601_0614,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010689483,0.17463194,0.22210923,0.0598107,0.54237926
1872,65_1872-02-28_p3_sn89051253_0051368826A_1872022801_0155,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74412644,0.013326669,0.009917677,0.22598584,0.006643323
1872,39_1872-09-20_p3_sn83032103_00383340652_1872092001_0357,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001991099,0.16944858,0.059553143,0.7684089,0.0005982229
1872,19_1872-10-09_p4_sn84020594_00271742538_1872100901_1091,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29987523,0.6871453,0.0052431854,0.0042076805,0.0035285382
1872,26_1872-02-15_p3_sn90061771_00200292807_1872021501_0447,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5811443,0.004890682,0.0036373786,0.40787977,0.0024478668
1872,17_1872-06-06_p8_sn83030214_00206531101_1872060601_0286,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42482033,0.00494652,0.0037258703,0.42810684,0.13840048
1872,26_1872-07-30_p1_sn84026837_0027174254A_1872073001_0436,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07807276,0.04738549,0.03545843,0.8150749,0.024008403
1872,11_1872-05-11_p1_sn84026820_00271765277_1872051101_0298,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085712625,0.9811154,0.0041640466,0.003350303,0.0027989498
1872,11_1872-07-13_p1_sn84026837_0027174254A_1872071301_0378,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4423932,0.19386509,0.27901882,0.08108335,0.00363953
1872,8_1872-11-16_p1_sn85052141_00202195301_1872111601_0576,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10876684,0.21547976,0.5148061,0.00052149233,0.16042587
